1;80;40;80;50;250;2;1[0];1[0];1;0:01:10;21
2;135;65;135;85;420;1;1[0];1[0];1;0:03:00;39
3;225;110;225;140;700;1;1[0];1[0];2;0:06:00;63
4;375;185;375;235;1170;1;1[0];1[0];2;0:10:40;93
5;620;310;620;390;1940;1;1[0];1[0];2;0:18:20;138
6;1040;520;1040;650;3250;2;1[1];1[0];3;0:30:20;210
7;1735;870;1735;1085;5425;2;1[3];1[1];4;0:49:40;294
8;2900;1450;2900;1810;9060;2;1[4];1[3];4;1:20:40;420
9;4840;2420;4840;3025;15125;2;1[6];1[4];5;2:10:10;609
10;8080;4040;8080;5050;25250;2;1[9];1[7];6;3:29:20;840
11;13500;6750;13500;8435;42185;2;1[11];1[9];7;5:36:10;1176
12;22540;11270;22540;14090;70440;2;1[14];1[11];9;8:59:00;1575
13;37645;18820;37645;23525;117635;2;1[16];1[14];11;14:23:30;2079
14;62865;31430;62865;39290;196450;2;1[19];1[17];13;23:02:40;2667
15;104985;52490;104985;65615;328075;2;2[14];1[19];15;36:53:20;3360
16;175320;87660;175320;109575;547875;3;3[12];2[15];18;59:02:20;4200
17;292790;146395;292790;182995;914970;3;4[18];3[14];22;94:28:50;5460
18;488955;244480;488955;305600;1527990;3;7[9];4[19];27;151:11:10;6720
19;816555;408280;816555;510350;2551740;3;11[12];7[15];32;241:55:00;8400
20;1363650;681825;1363650;852280;4261405;3;18[5];11[18];38;387:05:10;10290
21;2277295;1138650;2277295;1423310;7116550;3;29[16];18[19];46;619:21:30;12810
